Date,Open,High,Low,Close,Volume
7/21/2016 16:00:00,747.5,749.36,742.79,744.43,2317072
7/22/2016 16:00:00,747.79,751.28,743.53,744.86,2277711
7/25/2016 16:00:00,746.55,748.5,735.35,739.61,2679290
7/26/2016 16:00:00,742.71,743.13,732.75,735.59,2529692
7/27/2016 16:00:00,737.97,740.94,733.86,736.67,2913134
7/28/2016 16:00:00,745.98,753.36,739.7,752.61,7617580
7/29/2016 16:00:00,765,766,755,758.81,6777050
8/1/2016 16:00:00,759.87,770.5,757.06,767.74,3578205
8/2/2016 16:00:00,763.81,765.01,757.02,760.58,3603280
8/3/2016 16:00:00,757.06,758.89,752.25,754.64,3581525
8/4/2016 16:00:00,753.7,765,750.35,760.77,3178208
8/5/2016 16:00:00,764.81,768.47,763.09,765.98,2704391
8/8/2016 16:00:00,766.81,767,761.02,766.56,1986272
8/9/2016 16:00:00,767.39,772.6,766.9,768.31,1876091
8/10/2016 16:00:00,769.8,772.1,766.19,768.56,1604280
8/11/2016 16:00:00,769.94,773.75,769.12,771.24,2019740
8/12/2016 16:00:00,768.46,773.15,768.42,772.56,1563318
8/15/2016 16:00:00,771.9,772.04,767.71,768.49,2118521
8/16/2016 16:00:00,768.62,768.73,763.82,764.04,1604561
8/17/2016 16:00:00,764.41,765.22,759.2,764.63,1891116
8/18/2016 16:00:00,764,765.17,760.6,764.46,1458834
8/19/2016 16:00:00,761.9,762.49,756.89,757.31,2343237
8/22/2016 16:00:00,757.5,759.85,752.1,759.48,1679251
8/23/2016 16:00:00,763.31,764.7,761,762.45,1524131
8/24/2016 16:00:00,763,763.41,755.36,757.25,1744107
8/25/2016 16:00:00,756,760.56,754.74,759.22,1622992
8/26/2016 16:00:00,760.05,770,759.8,769,2776830
8/29/2016 16:00:00,768.72,774.98,768.6,771.29,2198560
8/30/2016 16:00:00,771.05,771.84,765.56,767.58,1709158
8/31/2016 16:00:00,766.6,769.64,764,769.16,1633789
9/1/2016 16:00:00,770.9,772.04,766.75,770.62,1792271
9/2/2016 16:00:00,774.11,776,771.7,772.44,2181792
9/6/2016 16:00:00,774.04,789.48,770.22,788.87,3719788
9/7/2016 16:00:00,789.53,790.79,784.33,784.48,2424622
9/8/2016 16:00:00,783.89,786.5,781.44,784.06,2030511
9/9/2016 16:00:00,779.36,781,760.11,760.14,4257344
9/12/2016 16:00:00,757.35,772.66,756,771.49,3124704
9/13/2016 16:00:00,768.77,769.89,759.05,761.01,3117224
9/14/2016 16:00:00,762.2,767.5,758.85,761.09,2531822
9/15/2016 16:00:00,762,770.87,757.58,769.69,3043534
9/16/2016 16:00:00,773.28,780.46,771.66,778.52,5499182
9/19/2016 16:00:00,779.97,781.94,771,775.1,2297221
9/20/2016 16:00:00,776,781.37,776,780.22,1937164
9/21/2016 16:00:00,783.25,790.69,779.01,789.74,2718644
9/22/2016 16:00:00,794.27,805.89,794.27,804.7,4078910
9/23/2016 16:00:00,803.13,807.75,802.12,805.75,2353511
9/26/2016 16:00:00,801.8,805.93,797.15,799.16,2651397
9/27/2016 16:00:00,801.85,816.64,801.11,816.11,3819600
9/28/2016 16:00:00,818,830.14,817.03,828.72,4422078
9/29/2016 16:00:00,828.26,837.5,824.63,829.05,4922248
9/30/2016 16:00:00,832.61,839.95,832.4,837.31,4430566
10/3/2016 16:00:00,836,839.86,831.25,836.74,2769448
10/4/2016 16:00:00,840.91,842.37,830.26,834.03,2950314
10/5/2016 16:00:00,838,845.67,836.12,844.36,3469055
10/6/2016 16:00:00,843.7,847.21,840.6,841.66,2684013
10/7/2016 16:00:00,845.79,845.95,837.45,839.43,2426228
10/10/2016 16:00:00,843.25,845.2,840.27,841.71,1827143
10/11/2016 16:00:00,841.02,841.29,828.35,831,3588180
10/12/2016 16:00:00,834,837.67,830.1,834.09,2380416
10/13/2016 16:00:00,829,831.8,821.21,829.28,3091387
10/14/2016 16:00:00,835.08,835.74,822.96,822.96,2999814
10/17/2016 16:00:00,821.5,822,811.68,812.95,3361492
10/18/2016 16:00:00,822.11,823.26,815.02,817.65,2512504
10/19/2016 16:00:00,820.4,820.67,815.17,817.69,2090706
10/20/2016 16:00:00,813.99,815.71,803.1,810.32,3151954
10/21/2016 16:00:00,809.36,819.42,809,818.99,2793015
10/24/2016 16:00:00,824.95,838.3,822.21,838.09,4060899
10/25/2016 16:00:00,839.3,843.09,833.22,835.18,3248358
10/26/2016 16:00:00,832.76,833.44,820,822.59,3998102
10/27/2016 16:00:00,831.24,831.72,815.43,818.36,7406385
10/28/2016 16:00:00,782,789.49,774.61,776.32,10841073
10/31/2016 16:00:00,781.03,793.7,780.11,789.82,5413326
11/1/2016 16:00:00,799,800.84,776.71,785.41,5305428
11/2/2016 16:00:00,783.93,784.75,763.55,765.56,5026504
11/3/2016 16:00:00,765.05,777,764,767.03,3872496
11/4/2016 16:00:00,762.79,766,753.23,755.05,5122103
11/7/2016 16:00:00,771.64,787.73,770.94,784.93,5984354
11/8/2016 16:00:00,784.97,791.74,779.1,787.75,3412629
11/9/2016 16:00:00,764,777.5,760.09,771.88,8562892
11/10/2016 16:00:00,778.81,778.83,717.7,742.38,12746994
11/11/2016 16:00:00,735.73,743.26,728.9,739.01,6622784
11/14/2016 16:00:00,745.51,746,710.1,719.07,7321344
11/15/2016 16:00:00,730,746.78,725.99,743.24,6755785
11/16/2016 16:00:00,739.88,749.87,735.61,746.49,3648791
11/17/2016 16:00:00,749.32,757.5,748,756.4,3690112
11/18/2016 16:00:00,761,767.74,757.64,760.16,4373408
11/21/2016 16:00:00,766,780.35,765.11,780,4614574
11/22/2016 16:00:00,788.17,792.4,781,785.33,5311320
11/23/2016 16:00:00,781.73,781.75,773.12,780.12,3540263
11/25/2016 16:00:00,786.5,786.75,777.9,780.37,1837068
11/28/2016 16:00:00,776.99,777,764.24,766.77,4438828
11/29/2016 16:00:00,768,769.89,761.32,762.52,3272344
11/30/2016 16:00:00,762,768.09,750.25,750.57,4625946
12/1/2016 16:00:00,752.41,753.37,738.03,743.65,4665993
12/2/2016 16:00:00,743.4,748.49,736.7,740.34,3561307
12/5/2016 16:00:00,745,761.49,742,759.36,4314723
12/6/2016 16:00:00,763.99,768.24,757.25,764.72,3794746
12/7/2016 16:00:00,764.55,770.42,755.82,770.42,3684906
12/8/2016 16:00:00,771.87,773.79,765.19,767.33,3189608
12/9/2016 16:00:00,770,770.25,765.34,768.66,2470923
12/12/2016 16:00:00,766.4,766.89,757.2,760.12,2963945
12/13/2016 16:00:00,764.96,782.46,762,774.34,5285288
12/14/2016 16:00:00,778.25,780.86,762.81,768.82,5454836
12/15/2016 16:00:00,766.28,769.1,760.31,761,3801927
12/16/2016 16:00:00,765,765.13,754,757.77,4848219
12/19/2016 16:00:00,758.89,770.5,756.16,766,3113240
12/20/2016 16:00:00,768.65,774.39,767.71,771.22,2703629
12/21/2016 16:00:00,770,771.22,765.7,770.6,2044629
12/22/2016 16:00:00,768.12,771.21,763.02,766.34,2543551
12/23/2016 16:00:00,764.55,766.5,757.99,760.59,1981616
12/27/2016 16:00:00,763.4,774.65,761.2,771.4,2638725
12/28/2016 16:00:00,776.25,780,770.5,772.13,3301025
12/29/2016 16:00:00,772.4,773.4,760.85,765.15,3158299
12/30/2016 16:00:00,766.47,767.4,748.28,749.87,4139449
1/3/2017 16:00:00,757.92,758.76,747.7,753.67,3521066
